                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.1205,                0.89122,                 1.6698,                0.90846,                0.77808,                0.81301,                0.66103,                 1.0915,                 0.9473,                 1.8261,             0.00054481,             0.00054481,             0.00054481
                    127,                  1.114,                 0.8647,                 1.6775,                0.93857,                 0.7875,                0.85632,                0.65064,                 1.1013,                 0.8862,                 1.8561,             0.00053773,             0.00053773,             0.00053773
                    128,                  1.137,                0.89214,                 1.6702,                0.94499,                0.76667,                0.83249,                 0.6391,                 1.1348,                0.92024,                 1.9059,             0.00053066,             0.00053066,             0.00053066
                    129,                 1.1625,                 0.9137,                 1.7218,                0.94638,                0.76667,                0.84037,                0.65726,                 1.1248,                0.87895,                 1.8692,             0.00052359,             0.00052359,             0.00052359
                    130,                 1.1306,                 0.8489,                 1.6833,                0.94065,                0.77995,                0.84019,                0.61232,                 1.1598,                0.89163,                 1.8878,             0.00051651,             0.00051651,             0.00051651
                    131,                 1.1114,                0.82364,                 1.6812,                0.91489,                 0.7875,                0.82154,                0.62401,                 1.0857,                0.91679,                   1.81,             0.00050944,             0.00050944,             0.00050944
                    132,                 1.1219,                0.84431,                  1.695,                0.90153,                 0.7875,                0.79239,                0.63132,                 1.0797,                0.94726,                 1.8115,             0.00050236,             0.00050236,             0.00050236
                    133,                 1.1256,                0.89698,                 1.6836,                 0.9375,                0.80833,                0.82299,                0.63051,                 1.1278,                0.95975,                 1.8392,             0.00049529,             0.00049529,             0.00049529
                    134,                 1.1589,                 0.8747,                 1.7403,                0.93464,                 0.8006,                0.83292,                0.67767,                 1.0312,                0.89783,                 1.7588,             0.00048822,             0.00048822,             0.00048822
                    135,                 1.1717,                0.88704,                 1.7044,                0.89085,                0.82357,                0.82323,                 0.6247,                 1.1102,                0.89473,                 1.8487,             0.00048114,             0.00048114,             0.00048114
                    136,                 1.1788,                0.88482,                 1.6992,                0.92866,                0.80966,                0.82023,                  0.588,                 1.2349,                0.94105,                 1.9823,             0.00047407,             0.00047407,             0.00047407
                    137,                 1.1113,                 0.8114,                 1.6853,                0.90682,                 0.7875,                0.80043,                0.62481,                 1.1356,                0.90476,                 1.8522,               0.000467,               0.000467,               0.000467
                    138,                 1.1738,                0.85724,                  1.728,                0.86865,                 0.8106,                0.81176,                0.62267,                 1.2003,                0.98415,                 1.9465,             0.00045992,             0.00045992,             0.00045992
                    139,                 1.0656,                0.82256,                  1.665,                0.88961,                 0.7875,                0.81997,                0.63713,                  1.104,                0.85034,                 1.7791,             0.00045285,             0.00045285,             0.00045285
                    140,                 1.0931,                0.77745,                 1.6518,                 0.9399,                 0.7875,                0.83416,                0.62859,                  1.081,                0.85471,                 1.8052,             0.00044578,             0.00044578,             0.00044578
                    141,                  1.085,                0.79485,                  1.635,                0.93514,                 0.7875,                0.83679,                0.63109,                 1.0681,                0.82687,                 1.8033,              0.0004387,              0.0004387,              0.0004387
                    142,                  1.118,                0.82046,                 1.6301,                0.90229,                0.80833,                0.83189,                0.66116,                 1.0264,                0.87617,                 1.7417,             0.00043163,             0.00043163,             0.00043163
                    143,                 1.1459,                0.91949,                 1.6819,                0.96765,                 0.7971,                0.86226,                 0.6633,                 1.0803,                0.80649,                 1.7593,             0.00042456,             0.00042456,             0.00042456
                    144,                 1.0933,                0.80766,                 1.6074,                0.95623,                 0.7875,                0.84701,                0.60815,                 1.2503,                0.91142,                 1.9351,             0.00041748,             0.00041748,             0.00041748
                    145,                 1.0719,                0.80896,                  1.623,                0.93283,                 0.7875,                0.85172,                0.64824,                 1.0979,                0.85102,                 1.7994,             0.00041041,             0.00041041,             0.00041041
                    146,                 1.0489,                0.79321,                 1.6116,                0.94461,                   0.83,                0.82438,                0.65849,                0.99483,                0.82197,                 1.7361,             0.00040334,             0.00040334,             0.00040334
